Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,79.930000,80.400002,77.559998,77.790001,75.211601,9144000
2018-11-20,67.989998,71.500000,66.120003,69.029999,67.295616,20866400
2018-11-21,70.000000,70.250000,68.080002,69.260002,67.519844,11724700
2018-11-23,69.190002,69.370003,67.209999,67.349998,65.657822,5652600
2018-11-26,68.070000,69.339996,68.070000,69.250000,67.510086,10028800
2018-11-27,69.089996,71.989998,68.680000,71.379997,69.586571,13392500
2018-11-28,71.389999,71.889999,69.820000,71.879997,70.074005,8457200
2018-11-29,71.449997,71.540001,69.760002,71.169998,69.381836,6718400
2018-11-30,70.940002,71.669998,70.339996,70.959999,69.177116,7100400
2018-12-03,72.430000,72.639999,70.809998,72.339996,70.522446,7747600
2018-12-04,72.059998,72.480003,68.500000,69.309998,67.568581,9762000
2018-12-06,68.699997,69.599998,67.349998,69.540001,67.792793,6304400
2018-12-07,69.169998,69.870003,67.330002,67.809998,66.106270,5471500
2018-12-10,67.760002,68.529999,66.570000,68.320000,66.603447,5750900
2018-12-11,68.739998,68.809998,66.070000,66.779999,65.102150,5756500
2018-12-12,67.849998,68.320000,67.250000,67.790001,66.086777,5451300
2018-12-13,67.419998,68.669998,65.959999,66.680000,65.004662,5866800
2018-12-14,66.199997,67.919998,66.019997,67.169998,65.482346,6471700
2018-12-17,66.699997,66.709999,63.759998,64.320000,62.703957,8576400
2018-12-18,64.720001,65.779999,64.570000,65.309998,63.669079,7074300
2018-12-19,65.839996,65.949997,62.470001,62.830002,61.251392,6705300
2018-12-20,62.650002,63.330002,60.740002,61.700001,60.149780,8216200
2018-12-21,61.770000,63.509998,60.810001,61.130001,59.594101,8825100
2018-12-24,60.709999,62.709999,60.150002,61.549999,60.003551,3623400
2018-12-26,62.400002,65.230003,61.990002,65.110001,63.474098,6157300
2018-12-27,64.370003,64.889999,62.160000,64.709999,63.084152,5706000
2018-12-28,65.180000,65.879997,64.430000,64.959999,63.327869,4193200
2018-12-31,65.330002,66.180000,65.220001,66.089996,64.429474,4178500
2019-01-02,65.059998,66.849998,64.760002,66.440002,64.770699,4549300
2019-01-03,66.129997,66.629997,65.410004,65.529999,63.883556,4562200
2019-01-04,66.239998,66.879997,65.449997,66.430000,64.760941,4825900
2019-01-07,66.809998,69.879997,66.809998,69.680000,67.929283,7630600
2019-01-08,70.180000,70.480003,68.309998,69.610001,67.861038,6756000
2019-01-09,69.379997,70.980003,68.779999,70.290001,68.523956,6025100
2019-01-10,67.949997,68.330002,66.529999,68.290001,66.574203,13913700
2019-01-11,68.300003,70.040001,68.059998,69.610001,67.861038,5025900
2019-01-14,69.150002,69.849998,68.629997,68.839996,67.110382,4568000
2019-01-15,68.760002,68.760002,67.800003,68.209999,66.496216,3770000
2019-01-16,68.059998,68.629997,67.599998,67.849998,66.145264,4888700
2019-01-17,67.510002,69.660004,67.169998,69.370003,67.627075,4133200
2019-01-18,69.970001,70.879997,69.830002,70.680000,68.904160,4484100
2019-01-22,70.379997,71.040001,69.660004,70.279999,68.514206,5763900
2019-01-23,70.839996,71.449997,69.330002,70.320000,68.553207,4446600
2019-01-24,70.550003,70.900002,69.820000,70.610001,68.835922,4057000
2019-01-25,71.050003,72.440002,70.940002,72.389999,70.571198,5544200
2019-01-28,72.019997,72.220001,71.209999,72.120003,70.307976,3511100
2019-01-29,72.120003,72.190002,71.300003,71.699997,69.898529,3320600
2019-01-30,72.300003,72.650002,71.309998,72.330002,70.512695,3789300
2019-01-31,72.309998,73.070000,72.070000,73.000000,71.165863,6699400
2019-02-01,73.099998,73.099998,70.459999,71.169998,69.381836,5916200
2019-02-04,71.209999,72.559998,70.809998,72.440002,70.619949,3622300
2019-02-05,72.709999,73.050003,72.250000,72.769997,70.941643,3526200
2019-02-06,72.629997,72.739998,71.870003,72.510002,70.688179,3399300
2019-02-07,72.040001,72.540001,71.480003,71.860001,70.054512,3711600
2019-02-08,71.699997,72.180000,70.739998,70.879997,69.099129,4146200
2019-02-11,70.779999,70.790001,69.070000,70.150002,68.387482,6661000
2019-02-12,70.699997,71.180000,70.260002,70.410004,68.640945,4505500
2019-02-13,70.610001,72.760002,69.970001,72.570000,70.746674,7186900
2019-02-14,71.730003,72.989998,71.110001,72.180000,70.366463,4624800
2019-02-15,72.559998,73.379997,72.220001,72.839996,71.009888,3835800
2019-02-19,72.930000,73.709999,72.019997,73.300003,72.091759,6868000
2019-02-20,73.430000,73.629997,72.489998,72.709999,71.511482,5005600
2019-02-21,72.760002,72.970001,71.680000,72.029999,70.842690,3985000
2019-02-22,72.209999,72.639999,71.800003,72.250000,71.059059,3144800
2019-02-25,72.830002,73.589996,72.610001,73.099998,71.895050,7782000
2019-02-26,72.919998,73.220001,71.709999,72.290001,71.098404,5370900
2019-02-27,72.309998,73.480003,72.300003,73.019997,71.816368,5164400
2019-02-28,73.120003,73.120003,72.269997,72.639999,71.442635,5375600
2019-03-01,73.589996,74.459999,71.959999,72.940002,71.737694,6833800
2019-03-04,73.449997,73.970001,72.449997,72.669998,71.472137,7383800
2019-03-05,76.489998,76.559998,74.120003,76.000000,74.747253,17015100
2019-03-06,76.820000,77.440002,76.129997,76.900002,75.632416,7874200
2019-03-07,76.330002,76.989998,75.519997,76.169998,74.914452,5617900
2019-03-08,75.879997,75.949997,74.790001,75.809998,74.560379,4581900
2019-03-11,75.820000,76.300003,75.440002,76.269997,75.012794,3435900
2019-03-12,76.440002,76.500000,75.769997,76.180000,74.924286,3646200
2019-03-13,76.260002,77.370003,76.180000,77.120003,75.848785,3796600
2019-03-14,76.660004,76.800003,76.050003,76.489998,75.229172,3779500
2019-03-15,76.730003,76.879997,76.070000,76.660004,75.396378,5274100
2019-03-18,76.919998,78.010002,76.919998,77.879997,76.596260,3923500
2019-03-19,78.330002,78.769997,78.010002,78.459999,77.166702,4192300
2019-03-20,78.430000,78.449997,77.400002,77.540001,76.261871,4325300
2019-03-21,78.199997,79.930000,78.199997,79.489998,78.179718,5322000
2019-03-22,79.150002,79.589996,78.250000,78.320000,77.029007,3174500
2019-03-25,78.309998,79.279999,78.050003,78.529999,77.235550,2911400
2019-03-26,79.160004,80.029999,79.050003,79.629997,78.317413,3493600
2019-03-27,79.680000,80.639999,79.550003,79.820000,78.504288,3609400
2019-03-28,80.089996,81.559998,79.870003,80.320000,78.996040,5394100
2019-03-29,80.739998,80.769997,79.849998,80.260002,78.937035,3886600
2019-04-01,80.610001,80.610001,79.300003,79.970001,78.651810,4733900
2019-04-02,79.599998,80.260002,79.360001,79.459999,78.150215,2909200
2019-04-03,79.739998,79.860001,79.190002,79.309998,78.002686,3251700
2019-04-04,79.180000,81.559998,79.160004,81.379997,80.038567,4396200
2019-04-05,81.059998,81.580002,80.599998,80.940002,79.605827,4234600
2019-04-08,80.910004,82.230003,80.860001,81.930000,80.579498,4609000
2019-04-09,81.180000,81.379997,80.370003,80.660004,79.330437,4863800
2019-04-10,80.930000,81.410004,80.239998,80.750000,79.418961,2265400
2019-04-11,80.699997,81.080002,80.139999,80.449997,79.123894,2627800
2019-04-12,81.000000,81.500000,80.440002,80.730003,79.399284,3517200
2019-04-15,80.839996,82.129997,80.690002,81.980003,80.628685,3306200
2019-04-16,82.389999,82.459999,81.650002,81.970001,80.618851,2663600
2019-04-17,82.400002,83.400002,82.300003,82.680000,81.317139,3045000
2019-04-18,82.760002,83.480003,82.440002,83.260002,81.887589,3162700
2019-04-22,83.160004,83.650002,81.930000,82.019997,80.668022,3331200
2019-04-23,81.639999,82.260002,80.290001,82.160004,80.805717,6238500
2019-04-24,81.669998,83.339996,81.669998,82.879997,81.513840,2660000
2019-04-25,82.790001,82.790001,81.650002,81.739998,80.392632,3797000
2019-04-26,77.120003,78.360001,74.730003,77.120003,75.848785,12352800
2019-04-29,78.419998,78.480003,76.970001,77.800003,76.517586,9097000
2019-04-30,78.059998,78.139999,77.010002,77.419998,76.143845,5339800
2019-05-01,77.800003,78.040001,75.620003,75.669998,74.422684,5463200
2019-05-02,76.080002,77.000000,75.739998,76.419998,75.160324,4456300
2019-05-03,75.970001,77.000000,75.320000,75.940002,74.688240,5774300
2019-05-06,75.000000,76.150002,74.750000,75.980003,74.727585,4008600
2019-05-07,75.449997,75.820000,74.470001,75.040001,73.803078,4437200
2019-05-08,75.120003,75.779999,74.300003,75.410004,74.166977,3997700
2019-05-09,74.949997,75.559998,74.230003,75.110001,73.871925,4549300
2019-05-10,74.660004,75.089996,73.330002,74.639999,73.409668,5200300
2019-05-13,73.290001,73.529999,71.370003,71.680000,70.498459,6055200
2019-05-14,70.970001,71.769997,70.029999,71.260002,70.716789,8063100
2019-05-15,70.940002,71.220001,70.260002,70.809998,70.270210,5578900
2019-05-16,71.489998,71.940002,70.610001,70.779999,70.240440,4476200
2019-05-17,70.139999,71.589996,70.089996,70.889999,70.349602,3891200
2019-05-20,71.419998,72.320000,71.099998,72.080002,71.530533,5750100
2019-05-21,71.260002,72.949997,70.709999,71.959999,71.411446,7705900
2019-05-22,77.010002,79.190002,76.800003,77.559998,76.968758,20777800
2019-05-23,77.809998,79.589996,76.820000,79.400002,78.794731,11619600
2019-05-24,79.599998,81.660004,79.580002,81.570000,80.948189,7851700
2019-05-28,81.779999,82.250000,80.690002,80.769997,80.154289,6522700
2019-05-29,80.029999,80.190002,79.129997,79.639999,79.032906,5772200
2019-05-30,80.010002,80.790001,79.900002,80.389999,79.777184,3996900
